porowner,name,url,stars,contributors,commits_5_anos,default_branch
borgbackup,borg,https://github.com/borgbackup/borg,13357,364,3729,master
sshuttle,sshuttle,https://github.com/sshuttle/sshuttle,13334,156,476,master
DLR-RM,stable-baselines3,https://github.com/DLR-RM/stable-baselines3,13316,172,398,master
getpelican,pelican,https://github.com/getpelican/pelican,13303,485,560,main
FujiwaraChoki,MoneyPrinter,https://github.com/FujiwaraChoki/MoneyPrinter,13298,29,219,main
GreyDGL,PentestGPT,https://github.com/GreyDGL/PentestGPT,13249,24,302,main
dbcli,pgcli,https://github.com/dbcli/pgcli,13182,197,180,main
microsoft,RD-Agent,https://github.com/microsoft/RD-Agent,13175,37,1009,main
Jiayi-Pan,TinyZero,https://github.com/Jiayi-Pan/TinyZero,13111,15,156,main
567-labs,instructor,https://github.com/567-labs/instructor,13010,251,1557,main
