porowner,name,url,stars,contributors,commits_5_anos,default_branch
spotDL,spotify-downloader,https://github.com/spotDL/spotify-downloader,24884,188,1738,master
microsoft,JARVIS,https://github.com/microsoft/JARVIS,24757,23,112,main
volcengine,OpenViking,https://github.com/volcengine/OpenViking,24563,157,1201,main
oraios,serena,https://github.com/oraios/serena,24543,181,2898,main
huggingface,lerobot,https://github.com/huggingface/lerobot,24269,217,1469,main
harvard-edge,cs249r_book,https://github.com/harvard-edge/cs249r_book,24245,112,15677,dev
HKUDS,DeepTutor,https://github.com/HKUDS/DeepTutor,24235,66,750,main
plotly,dash,https://github.com/plotly/dash,24209,212,4433,dev
pytorch,examples,https://github.com/pytorch/examples,23903,285,287,main
Guovin,iptv-api,https://github.com/Guovin/iptv-api,23889,6,2096,master
Delgan,loguru,https://github.com/Delgan/loguru,23886,76,470,master
Dao-AILab,flash-attention,https://github.com/Dao-AILab/flash-attention,23877,181,1489,main
ranaroussi,yfinance,https://github.com/ranaroussi/yfinance,23787,167,1505,main
pyg-team,pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,23781,566,3402,master
sinaptik-ai,pandas-ai,https://github.com/sinaptik-ai/pandas-ai,23549,112,1416,main
vanna-ai,vanna,https://github.com/vanna-ai/vanna,23494,88,972,main
deepseek-ai,DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder,23429,17,109,main
jhao104,proxy_pool,https://github.com/jhao104/proxy_pool,23359,64,107,master
timqian,chinese-independent-blogs,https://github.com/timqian/chinese-independent-blogs,23255,1455,2555,master
langchain-ai,deepagents,https://github.com/langchain-ai/deepagents,23239,118,1958,main
Fincept-Corporation,FinceptTerminal,https://github.com/Fincept-Corporation/FinceptTerminal,23109,36,952,main
modelcontextprotocol,python-sdk,https://github.com/modelcontextprotocol/python-sdk,23103,185,856,main
SYSTRAN,faster-whisper,https://github.com/SYSTRAN/faster-whisper,23100,47,263,master
Vonng,ddia,https://github.com/Vonng/ddia,23059,127,716,main
danielgatis,rembg,https://github.com/danielgatis/rembg,23057,82,455,main
saleor,saleor,https://github.com/saleor/saleor,22921,323,3928,main
letta-ai,letta,https://github.com/letta-ai/letta,22916,153,7464,main
SuperClaude-Org,SuperClaude_Framework,https://github.com/SuperClaude-Org/SuperClaude_Framework,22915,43,345,master
emmabostian,developer-portfolios,https://github.com/emmabostian/developer-portfolios,22861,2205,5117,master
matplotlib,matplotlib,https://github.com/matplotlib/matplotlib,22829,1919,15345,main
serengil,deepface,https://github.com/serengil/deepface,22815,97,1603,master
mlc-ai,mlc-llm,https://github.com/mlc-ai/mlc-llm,22702,164,1799,main
magic-wormhole,magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,22629,90,851,master
PrefectHQ,prefect,https://github.com/PrefectHQ/prefect,22451,441,21521,main
PromtEngineer,localGPT,https://github.com/PromtEngineer/localGPT,22213,51,340,main
tornadoweb,tornado,https://github.com/tornadoweb/tornado,22183,474,693,master
microsoft,unilm,https://github.com/microsoft/unilm,22131,77,1008,master
cheahjs,free-llm-api-resources,https://github.com/cheahjs/free-llm-api-resources,22116,5,413,main
mkdocs,mkdocs,https://github.com/mkdocs/mkdocs,22103,262,588,master
graphdeco-inria,gaussian-splatting,https://github.com/graphdeco-inria/gaussian-splatting,22077,14,250,main
m-bain,whisperX,https://github.com/m-bain/whisperX,22055,115,545,main
